date,snippet
2016-12-01,Office workers who fumble through dialing into conference call numbers could soon have Amazons Alexa start the meetings for them Gov Jerry Brown thinks Democrats know best Also in this newsletter Activists fear Arctic drilling is a Trojan horse Amazoncom Inc wants to be your new executive assistant at work
2016-12-02,YouTube has taken down the lectures and sermons of the Qaeda recruiter Anwar alAwlaki That will save lives
2016-12-04,"One of Europes largest startup events opened Thursday in Finland, with , companies and , investors networking and negotiating funding, as the region looks to ramp up an industry that has long struggled to compete with the tech giants of t"
2016-12-06,"Microsoft is overhauling its longtime headquarters with an building construction project that will make room for another , workers The price of a single bitcoin has pierced the , level and some experts say it could rise further The worlds most popular virtual currency allows people to buy goods and services and exchange money without involving banks, credit card issue Gov Jerry Brown of California will headline ClimateTECH, a new conference from The New York Times, on Wednesday night Heres how to watch and what to know Amazoncom Inc on Wednesday announced its adoption of Kubernetes, a popular opensource technology, in a sign of increased competition in the cloud computing business, which Amazon Web Services has long dominated Finnish network equipment maker Nokia said on Wednesday that it was not in talks to buyUS network gear maker Juniper Networks Inc despite earlier reports to the contrary Amazoncom Inc on Wednesday announced its adoption of Kubernetes, a popular opensource technology, in a sign of increased competition in the cloud computing business, which Amazon Web Services has long dominated The internet retailer used an annual conference to show how machine learning will spur growth at Amazon Web Services, its most profitable business Some early Flipkart IPOFLPKN investors, employees and exemployees are selling their shares in the Indian ecommerce firm as part of a  billion investment deal agreed with Japans SoftBank Group, two people familiar with the matter said on"
2016-12-07,"The software giant plans to invest billions of dollars in renovating its campus in Redmond, Wash, to create a more urban atmosphere Over the last decade, a few giant corporations became an inescapable part of online life Gutting net neutrality would cement their power Two decades ago, big companies wagered that they could save billions by shifting profits overseas Under Republican tax plans, those bets would pay off Two senators have argued that big corporations are being given preferential treatment compared with passthroughs The problem that is wrong"
2016-12-08,"Explore the history of PC gaming and the top trends driving its growth today  A memo from the Immigration and Customs Enforcement bureau says the firms commercial products may be sending sensitive information about US infrastructure back to China, raising security concerns"
2016-12-09,Holiday shopping has already made the season merry for Amazon founder Jeff Bezos Ambiguities in the yearold Outer Space Treaty may be getting in the way of entrepreneurs seeking opportunities elsewhere in our solar system Russias communications watchdog Roskomnadzor said on Monday it would check next year if Twitter has complied with the law requiring all companies to store personal data of Russian citizens on Russian soil One of the pioneers of socalled computer vision is working on ways to deal with issues his old ideas could not solve
2016-12-13,"Some information technology companies are growing so concerned about their inability to find enough digital talent that theyre training their own Tech stocks remain the largest net sector exposure for equity hedge funds, which are set to deliver their strongest returns since , Goldman Sachs said on Wednesday in a note on the industrys most and least favoured areas of the market Some information technology companies are growing so concerned about not find enough digital talent that theyre training their own US stocks set more records in quiet postholiday trading Friday as technology companies again did much of the heavy lifting Energy companies rose with the price of oil Thorn, a nonprofit founded by Demi Moore and Ashton Kutcher, helps law enforcement agencies sort through sex listings"
2016-12-14,"Salesforcecom Inc forecast fourthquarter profit slightly below market expectations, hurting its shares even as profits and revenues rose on the back of strong demand for its cloudbased sales and marketing software  Tech stocks remain the largest net sector exposure for equity hedge funds, which are set to deliver their strongest returns since , Goldman Sachs said on Wednesday in a note on the industrys most and least favored areas of the market The US Federal Communications Commission is poised to vote on Dec  to rescind the socalled net neutrality rules championed by former President Barack Obama"
2016-12-15,"Skype, Microsoft Corps internet phone call and messaging service, has disappeared from app stores in China including that of Apple Inc, indicating the latest setback for a foreign tech service in the country The rich text format for wordprocessing documents is versatile, but saving an RTF file as a PDF gives it even more compatibility"
2016-12-17,"Tencent Holdings Ltd has racked up some impressive gains this week  becoming the first Chinese firm to be worth more than  billion  billion and surpassing Facebook to be the worlds fifthmost valuable company The app still functions in China, but its fate there is unclear as the government moves against foreignrun tools for online communication"
2016-12-20,"As machine learning becomes more powerful, the fields researchers increasingly find themselves unable to account for what their algorithms know  or how they know it"
2016-12-22,Saudi Arabian security officials said on Monday that the country had been targeted as part of a wideranging cyber espionage campaign observed since February against five Middle East nations as well as several countries outside the region Just why the president shelved his own administrations rule on bringing hunt trophies into the country  a weighty query  is the elephant in the room Asian stocks rose Wednesday after Wall Street hit new highs ahead of the twoday US break for the Thanksgiving holiday
2016-12-25,The Justice Department plans to file a lawsuit aimed at blocking ATTs  billion bid for Time Warner
2016-12-26,"A list of the winners at the  American Music Awards, held Sunday night at the Microsoft Theater in Los Angeles"
2016-12-27,Heres what you need to know to start your day
2016-12-30,"Funding and startups are concentrated on the coasts, especially in California But there are signs of an entrepreneurial awakening in the heartland, where talent is rich but prices arent"
2017-01-01,"The  American Music Awards marked a night of unison, positive vibes and American pride as musicians spoke about coming together in a year dominated by natural disasters, violence and divisive politics"
2017-01-02,"The president reversed his own administrations decision in an evening tweet, prohibiting trophies of killed elephants from being brought into the country"
2017-01-04,"Retailers and smaller US companies jumped again Friday as they continued to report strong thirdquarter results, but technology companies and other big US corporations couldnt add to the previous days gains Simple blood tests may soon be able to deliver alarming news about your cognitive health The US Supreme Court is set to consider a major cellphone privacy case later this month, but leading players in the wireless industry that is at the center of the closely watched dispute are keeping their distance"
2017-01-05,"The holidays are replete with streaming movies for and about Christmas, but what options does a movie lover have for the day that kicks off the season"
2017-01-06,"Leading researchers castigated a federal plan that would use artificial intelligence methods to scrutinize immigrants and visa applicants, saying it is unworkable as written and likely to be inaccurate and biased if deployed The US Fish and Wildlife Service said it planned to reverse a ban on the imports from Zimbabwe, following its earlier move to allow them from Zambia"
2017-01-07,"For Seattle, Amazon has become far more than a big employer and taxpayer"
2017-01-09,Phone companies will have greater authority to block unwanted calls from reaching customers as regulators adopted new rules to combat automated messages known as robocalls Billionaire entrepreneur and potential presidential candidate Mark Cuban said on Wednesday that a cut in the US corporate tax rate would have little to no effect on his investment decisions
2017-01-11,"FertilityIQ analyzed benefits at  employers across several industries Most, it said, have minimal or no coverage for treatments, which can cost , and up"
2017-01-12,"Microsofts online communication service Skype lost an appeal in Belgium after it failed to comply with a court request to share data from messages and calls If you dont want the D shadow on screenshots you take of macOS desktop windows, you just need to know the keyboard shortcut"
2017-01-16,"Apple is leading the way in tracing cobalt used in its electronics to ensure the metal has not been mined by children in Democratic Republic of Congo while Microsoft is lagging, Amnesty International said Apple is leading the way in tracing cobalt used in its electronics to ensure the metal has not been mined by children in Democratic Republic of Congo while Microsoft is lagging, Amnesty International said"
2017-01-17,"Your smartphone is not deliberately losing speed just because your phone maker has a new gadget for sale For devices that do slow down, here are some fixes"
2017-01-18,Heres what you need to know to start your day
2017-01-19,"The attorney general refrained from offering his view on the proposed deal, as the Justice Department weighs whether to sue to block the transaction"
2017-01-23,"Heres why the Republican tax plans are such a boondoggle The new wave of artificial intelligence will reduce jobs, but will also improve your health and products like your smartphone Robert Schoelkopf helped create technology that promises to deliver the machines of tomorrow at Google and IBM Now, he is giving them some competition"
2017-01-24,"As President Trump dismissed global trade talks, the other members of the TransPacific Partnership revived a major multinational agreement that would include American allies Intellectual property theft is not new, but its more widespread, experts say, thanks to tiny cameras and microphones or compromised WiFi networks"
2017-01-25,"Two new books offer startlingly different conclusions on Silicon Valleys influence on our economy, culture and politics The careers and networking service will no longer accept job ads from individuals in China, as Beijing cracks down on abusive pyramid schemes If you set up your mail accounts with the IMAP standard on your computer and mobile gadgets, keeping your mailboxes in sync is much easier"
2017-01-27,"When you decide its time to leave Google for another service, you can download a complete archive of all the files and data you used with Google products"
2017-01-28,"Jaron Laniers house and his new book, Dawn of the New Everything, are both crammed full of strange and mesmerizing stuff Did Al Gore invent the internet or not"
2017-01-29,The industry is pushing out a diverse lineup of titles and promoting new consoles to compete for peoples wallets
2017-01-31,"How will sex, death and liability change on the road to the driverless revolution"
2017-02-01,"Records from an offshore hideaway show how an American billionaire grew one of the worlds largest trusts and another owned part of a company accused of exploiting the poor David Boies, known for Bush v Gore but also aggressive battles for businesses, is drawing fire for helping Harvey Weinstein draft a contract to hire private investigators"
2017-02-03,"You can usually do basic editing with the free touchscreen versions of Microsofts Office apps, but you need to pay up to fully use the programs China is gleaning knowhow from foreign firms, willing or otherwise, to build the industries of the future, in an effort that worries companies and Washington"
2017-02-06,"Google and others, fighting for a small pool of researchers, are looking for automated ways to deal with a shortage of artificial intelligence experts Prince Alwaleeds arrest is likely to reverberate across dozens of publicly listed companies that count him as a major investor The shifting balance of power in the cellphone industry explains why a major chip maker is suddenly a takeover target Pieter Abbeel, a Berkeley professor, is part of the team that has started Embodied Intelligence to make it possible for robots to learn on their own A debut by Greg Poulos"
2017-02-07,"A special election in Washington State could give Democrats a free hand to enact liberal policies, including on climate, across the entire West Coast"
2017-02-10,Tech firms are deploying sophisticated marketing techniques to try to sell their wares into Americas schools
2017-02-11,Mr Ackman is seeking to shake up the payroll processing firm in a fight that will challenge the shifting power of activists in an era of record corporate profits
2017-02-12,Graduate programs in STEM have the highest percentage of international students of any broad academic field Why dont the locals bother
2017-02-13,"Not long ago, social media features were a musthave for any tech company But the Russian disinformation campaign has put them in an unflattering light"
2017-02-14,"Thursday Dodgers come up short in Game , photos of life in s Bay Area suburbia, and the battle against outdoor smoking"
2017-02-15," The enthusiasm for science education rests on the assumption that these fields are flush with opportunity Physicists, go digital  Pricey stylus tools bring useful features for creative professionals, but the less expensive models may be fine for handwriting and sketching"
2017-02-16,"Microsofts virtual assistant can answer to anybody who says its name, but you can train the program to take most of its orders from your voice What if its not that bad that so much economic, social and political power is held by Apple, Amazon, Google, Facebook and Microsoft"
2017-02-17,"Heres what you need to know to start your day As the ecommerce giant moves into physical retail and health care, traditional businesses may feel the need to take preemptive action, including seeking deals"
2017-02-19,"Google has a new way to safeguard your online accounts Heres how the program works, and why it may or may not be a better security choice for you Among the factors that will affect where the company chooses to put its new headquarters cost, diversity, universities  and coffee roasters Several apps can translate photographed type into text you can edit, but if you use Microsoft Word, the Office Lens app simplifies the process Some are heading to Washington to explain their role in the  election Others are facing regulatory scrutiny Consumers dont seem to care The US economy grew  percent last quarter, despite Hurricanes Harvey and Irma, but protectionist policies could put the trend at risk"
2017-02-20,"Media, telecom and other industries struggled to find lawmakers who would be critical of big technology companies Not anymore"
2017-02-22,"Why the government seems paralyzed in the face of the power and influence of companies like Apple, Google and Microsoft Two generations of Silicon Valley giants are finding that working together is better than falling behind competitors like Amazon and Microsoft"
2017-02-24,"European banks, tech companies and the big oil companies are all reporting their thirdquarter results And the economy is expected to have slowed As a result of the change, Microsoft said it would drop a lawsuit it filed against the government last year"
2017-02-25,Microsofts second major Windows  update was released last week and may already be installed on your computer
2017-02-27,"A new crop of megaphilanthropists  from Soros to Gates to Koch  eclipses old guard, changes the rules and courts controversy Nearly all big tech companies have an artificial intelligence project, and they are willing to pay experts millions of dollars to help get it done"
2017-02-28,"Cities used to be tied to geography a river, a port, the lee side of a mountain range Amazons handling of accusations of sexual harassment involving Roy Price, who ran its movie and television operations, has set off confusion, debate and fingerpointing Investors reckon passage of the budget blueprint improves Republicans chances of getting some kind of tax overhaul through Congress"
2017-03-01,"When the American Express CEO steps down in February, there may be just three black men running Fortune  companies"
2017-03-02,Heres what you need to know to start your day The choice comes at a time of broad bipartisan concern over corporate consolidation and big deals in the waiting
2017-03-03,"Do the volunteers behind Unicode, whose mission is to bring all human languages into the digital sphere, have enough bandwidth to deal with emojis too Congress, not the Supreme Court, should decide the fate of data held abroad"
2017-03-04,"The Supreme Court will decide whether prosecutors can force Microsoft to turn over emails held on a server in Ireland, and in another case, whether American Express violated antitrust laws In Silicon Valley, small companies used to unseat big ones Now the clutches of the five biggest tech companies are hard to escape"
2017-03-05,Heres what you need to know about the weeks top stories
2017-03-07,"Sheryl Sandberg went on a public relations offensive with lawmakers as investigations into Russian interference in the presidential election continued Microsofts virtual assistant can round up all the news for your favorite sports teams, as long as you tell the software the ones you root for A crib sheet for the tax reform debate After years of relying on a nofrills lobbying operation, Amazon is spreading its message far and wide in the nations capital"
2017-03-08,A combination of evolving social attitudes and competition for talent is forcing companies in Japan to become more welcoming to gay employees
2017-03-09,"Apples FaceTime software doesnt yet support more than onetoone video calls, but other compatible apps let you chat with a several people at once His vast fortune shaped Los Angeles, from its arts and medical worlds to its reinvigorated downtown When social issues are complicated, a new report finds, field catalysts are the bridge to bring together wealthy philanthropists and activists to make real progress"
2017-03-12,Heres what you need to know to start your day Reporting on technology has changed this year  what once felt like a world of boundless possibility now comes freighted with worry
2017-03-13,"Apple, Google and other tech giants are pushing deeper into cultural industries  and stumbling in ways that suggest a certain cluelessness With proper care, your system can give you years of service, but your hardware and software might give you clues that the end is nigh"
2017-03-14,"The search giant is facing increased scrutiny over its role in the  presidential campaign, and is one of a number of internet companies being examined As the Trump administration seeks to repeal Obamaera clean power rules, expect coal companies to come out ahead  but not by as much as people might think In an area called Silicon Slopes, at least five startups are valued at more than  billion, a sign that Utah has become a growing force for tech incubation"
2017-03-15,The couple met in August  on a street corner in New York A Times examination of Russianlinked Facebook pages used in the  election found that much of the content was taken directly from videos and posts from Americans
2017-03-17,"Satya Nadellas memoir, Hit Refresh, enters the hardcover nonfiction list at No  The void is as old as time, but it was a human innovation to harness it with a symbol"
2017-03-21,Apps used for twostep verification usually need to be reinstalled when you upgrade to a new smartphone
2017-03-22,"The church is holding a congress in Rome on protecting children from online abuse, but with a new scandal involving a priest, the timing is awkward New designs are partly a backlash to wideopen floor plans and include a palette of places, meaning that people dont sit in just one spot"
2017-03-23,"If it has been quite a while since you bought new hardware and software, make sure you can open files in ancient formats on your new computer"
2017-03-24,"The rapidly growing Brasil Game Show, scheduled for next month, illustrates how important the industrys overseas markets have become Microsoft Edge can keep the web pages and ebooks youve saved up to date on your other Windows  devices"
2017-03-26,"If you want a mobile mail program with more textformatting capabilities than Microsofts Outlook for Android, you dont have to look far"
2017-03-28,"Nathan Myhrvold and Francisco Migoyas mythbusting new book, Modernist Bread, is a call for bakers to experiment and innovate"
2017-03-31,"IBM has shifted its center of gravity halfway around the world to India, making it a hightech example of the globalization trends that the Trump administration has railed against The SpaceX founder insists that he can ferry cargo into space and fly people anywhere in the world in less than an hour, and make money doing it If youre being nagged about reaching your online storage limit, you can add on to your room in the cloud for as little as a dollar a month"
2017-04-01,"Few companies commented on the protests at all, and those that did stuck to bland statements of support for American values If you dont have a smartphone around all the time for getting twostep verification codes, you can get those digits by voice or paper"
2017-04-02,"President Trump and Congress are turning their legislative focus to a sweeping change of the tax code A  percent corporate rate is among the proposals During an interview with The New York Times at a TimesTalks event, Microsoft CEO Satya Nadella said that women in the technology industry have a lot of distance to make up"
2017-04-03,"With the tech industrys increasing dominance, Jason Calacanis, a tech investor, offers a radical guide for prospering betting on more of it"
2017-04-04,Many of the countrys largest technology companies pledged Tuesday to help finance an initiative meant to prepare American students for careers in socalled STEM fields Investment and jobs from the repatriation of profits held abroad have been promised in the past But the incentives to executives will need to change Satya Nadella said Silicon Valley had a significant distance to cover in offering equal opportunities for female workers
2017-04-09,"Microsoft Word comes with many sample document templates, but you can also create your own custom letterhead"
2017-04-10,"The couple met at Cornell, from which both graduated with honors Even as Mexico City begins to recover and normal rhythms return to its streets, the psychic damage lingers"
2017-04-11,"Apple has generated more wealth for shareholders than any other of the top  companies, which account for  percent of stock market wealth"
2017-04-12,"Not all coders are from the millennial generation  older people, some of them retired or semiretired, are also learning technical languages"
2017-04-14,"Many online services now offer three levels of picture quality for videos, but be sure to choose the best one for your device Meeting at the UN, the officials challenged Silicon Valley to keep terrorists from recruiting on the internet The companies said they were trying"
2017-04-15,"On the sidelines of the United Nations General Assembly, business leaders schmooze with diplomats  and one another  at private dinners and opulent events"
2017-04-16,Its move to hire HTC engineers is intended to improve competition with Apple and Samsung But the tech giants previous foray into handset making did not go so well
2017-04-18,"Nominees and guests alike chose necklines dropping almost down to the waist, or dresses slit at the hip Microsofts mobile version of Outlook for the Android platform doesnt offer textformatting options, but it does manage your mailbox Poor nations get high marks for meeting important goals But the Gateses warn that deep aid cuts and donor fatigue still could doom millions Hubert Joly, Best Buys chief executive, has reshaped nearly every aspect of the business He explains the playbook behind the companys success In a symbolic passing of the guard, Mr Clinton will be the first speaker Wednesday at the Bloomberg Global Business Forum As reefs die off, researchers want to breed the worlds hardiest corals in labs and return them to the sea to multiply The effort raises scientific and ethical questions"
2017-04-19,"If you need a break from the constant stream of alerts, notifications and calls, check your devices settings for a Do Not Disturb feature Tastes are changing, and few collectors fill their homes from floor to ceiling with antiques anymore What does it mean for the grand fair New technologies are testing the limits of computer semiconductors To deal with that, researchers have gone looking for ideas from nature At the Emmys, Mr Spicer made light of his tenure as press secretary In an interview, he said he regretted his infamous briefing on the inaugural crowd size"
2017-04-21,"An aerospace consultant, advice columnist, blogger and bestselling author And maybe the first to write a novel on a wordprocessor"
2017-04-22,"The average fastball was  mph in  Now its nearly  A big fastball doesnt guarantee a pitchers success, but without it, he may be ignored A community development specialist employed by Microsoft tries to help people, especially children, while using the companys products"
2017-04-23,"Nick Wingfield, a New York Times technology reporter who writes about Amazon and Microsoft, discusses the tech hes using"
2017-04-24,"At McVays age, most current head coaches were unheralded assistants Three were playing football One was selling IBM software If Microsofts choice in typefaces doesnt align with your tastes, you can change your default font for new documents"
2017-04-25,"Reid Hoffman, who founded LinkedIn, is funding groups to create a bulwark against Mr Trumps agenda Whether his startup approach is effective is unclear A spreadsheet created by employees to share salary information shows pay for women is falling short of what men make at various levels"
2017-04-26,"Once again, the tech industry tried to get the president to change his mind Once again, they failed Plus a look at the weeks other tech news"
2017-04-27,"Many of those who care for older Americans are lowwage immigrants, and replacing them could prove difficult and costly for families and taxpayers The online retail giant said it is seeking a location in North America for a new complex that would cost as much as  billion to build and operate"
2017-04-28,"Buying a trophy asset as the city rebuilds after Hurricane Harvey makes for awkward timing And yet the investment suggests an abiding faith in a recovery A group of  Democratic attorneys general have filed suit in New York, claiming that Mr Trump had improperly upended the policy known as Deferred Action for Childhood Arrivals Members of Congress offer warm words for the Dreamers The words are meaningless unless Congress acts A mandated reexamination of a  billion fine against the chip maker is a blow to Europes tough stance against American technology giants"
2017-04-29,"Major stock markets havent reacted strongly to the latest belligerence from North Korea, but several top fund managers are watching with fear"
